"filename", "language", "JSON", "Markdown", "Properties", "C#", "HTML", "XML", "CSS", "TypeScript", "JavaScript", "comment", "blank", "total"
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Migrations\DataContextModelSnapshot.cs", "C#", 0, 0, 0, 93, 0, 0, 0, 0, 0, 1, 30, 124
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Models\MailRequest.cs", "C#", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Models\Room.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 10
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Models\TemperatureAndHumidity.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Models\User.cs", "C#", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Models\UserDetails.cs", "C#", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 12
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Program.cs", "C#", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Properties\launchSettings.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Settings\MailSettings.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\SmartHomePI.NET.API.csproj", "XML", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 20
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\Startup.cs", "C#", 0, 0, 0, 86, 0, 0, 0, 0, 0, 3, 20, 109
"e:\dev\SmartHomePI.NET\SmartHomePI.NET.API\appsettings.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"Total", "-", 15698, 15, 10, 1402, 212, 20, 69, 1001, 53, 153, 612, 19245
